timestamp,role,role_simplified,sector,sector_simplified,yrs_experience,analysis_tools,carto_tools,scripting,prog_languages,prog_primary_factors,r_user,r_experience,r_frequency,r_tasks,r_tasks_simplified,r_strengths,r_limitations,r_packages,r_packages_clean,r_improvements,anything_else
1/3/20 18:07,Manager,Manager,Private,Private,> 20 years,"QGIS,PostgreSQL,PostGIS,R,Python,GDAL,CARTO,GeoDa","QGIS,R,Mapbox",Yes,"R,Python,Go",Libraries ,Yes,4,Weekly,Data cleaning and visualization,"data wrangling,visualization",Being able to clean data rapidly and plow through large datasets ,Scalability.  ,Sp,Sp,Make it scale ,
1/3/20 18:30,Data scientist,Data scientist,Private,Private,16 - 20 years,"QGIS,Esri products,PostgreSQL,PostGIS,R,Python,GRASS,GDAL","QGIS,Esri products,R,Python,Gimp",Yes,"R,Python","Deep Learning results with Python, everything else with R",Yes,5,Daily,"Spatial analysis, stats, ML","geo analysis,modeling","Packages. sf, sp, mapview, rgdal, raster, spatstat. Rstudio as an IDE. Spatial R community. ",Interactivity Vs. standard arcmap/qgis approach. Image handling for deep learning in aerials vs. Python. DL model examples vs. Python (can be overcome). Some custom specialized kernel methods on rasters were slower than Python even when using rcpp. ,"Sf,mapview,raster,spatstat","Sf,mapview,raster,spatstat",A refactor of raster package. ,"In addition to private industry use, I also teach a university course in spatial data science in R ( it could only chose one).  In my experience R is by far the primary language for geospatial analysis end to end. Python plays well with ESRI, but not as good standalone. The mentions of DL/AI stuff are all doable in R, but takes a lot more work and less reference material. Great survey, cannot wait for the talk you do from it!"
1/3/20 18:32,Researcher,Researcher,Academia,Academia,0 - 2 years,"QGIS,R,GeoDa",R,Yes,R,,Yes,4,Daily,"stats, maps","geo analysis,statistics","free, easy to use, replicable",-,sf,sf,,
1/3/20 18:34,Student,Student,Academia,Academia,0 - 2 years,"Esri products,R,GRASS",Esri products,No,,,,,,,,,,,,,
1/3/20 18:49,Data scientist,Data scientist,Private,Private,0 - 2 years,"R,D3","R,D3",Yes,"R,Javascript (or variant)",R for analysis and viz.  D3 for high-end client-specific visuals. ,Yes,5,Daily,"Web scraping, analysis, visualization, QA/QC","EDA,visualization,web scraping",Easy attribute data and spatial data analysis for vector data. Also package authors like Edzer Pebesma and others. ,"Raster representation (which R data structure to use), Remote sensing, computer vision, image recognition ","sf,stars,ggplot2,sp,nngeo,polyclip,smoothr,concaveman,raster","sf,stars,ggplot2,sp,nngeo,polyclip,smoothr,concaveman,raster","Native computer vision or image recognition packages.  Currently, the packages I use are linked to Python which forces Python dependency maintenance upon me. ",I check the reverse dependencies on CRAN for {sf} to see which new spatial packages are available.  The Spatial task view is not updated frequently enough. 
1/3/20 18:54,Student,Student,Academia,Academia,6 - 10 years,"QGIS,R,Google Earth Engine","QGIS,R,Adobe Creative Suite",No,,,,,,,,,,,,,
1/3/20 18:56,Researcher,Researcher,Non-profit,Non-profit,3 - 5 years,"QGIS,Esri products,R,Python","QGIS,Esri products,R",Yes,"R,Python",Ease of use; Familiarity,Yes,4,Daily,Spatial analysis; data science; spatial statistics; spatial modelling,"geo analysis,modeling,EDA",Libraries (sp; raster; sf; rgeos; rgdal),in-memory limitation of R (not exclusive to spatial data science,sp; raster,"sp,raster",,MSc in Geographical Information Science
1/3/20 18:57,CTO,Manager,Private,Private,16 - 20 years,"QGIS,Esri products,PostgreSQL,PostGIS,Python,GRASS,GDAL,Google Earth Engine","QGIS,Esri products",Yes,"Python,Javascript (or variant)",Whether I am using the automation within a software (example: python within QGIS and ESRI) - Javascript outside of software,Yes,1,"Infrequently, but as-needed",Statistical analysis,geo analysis,Speed,Complex to get on board with or to create simple tasks,,,More user friendly GUI - Flowchart style model building,
1/3/20 19:00,Data scientist,Data scientist,Non-profit,Non-profit,0 - 2 years,R,R,Yes,R,,Yes,5,Daily,Everything from general programming to machine learning,everything,Being able to deeply dive into the code and account for abnormal results programmatically,It feels like it wasn't designed for it. Mapping and visualization is also not as intuitive and interactive as it should be.,"Ggplot2,OpenStreetMap","Ggplot2,OpenStreetMap",Interactive visualization that worked well,"I very rarely have an opportunity to do spatial analysis, but it feels really cool to do in R"
1/3/20 19:02,Researcher,Researcher,Government,Government,0 - 2 years,R,R,Yes,"R,C (or variant)",,Yes,5,Daily,"Visualization, analysis, programming","visualization,EDA","Visualization, analysis, programming",Existing tooling,"sf,sp,whitebox,raster,fasterize. rayshader","sf,sp,whitebox,raster,fasterize,rayshader",,
1/3/20 19:06,Researcher,Researcher,Academia,Academia,6 - 10 years,"QGIS,PostgreSQL,PostGIS,R,Python,GRASS,GDAL","QGIS,R",Yes,"R,Python","tool availability, existing project infrastructure",Yes,4,Daily,"data  processing, data exploration, data analysis, visualisation, modelling","data wrangling,EDA,visualization,modeling",many analysis tools combined with spatial tools and easy database and data manegement access,"speed, quick visualization, long term support",,,,
1/3/20 19:08,Data Coordinator (many of the above roles for a small agency),Other,Government,Government,11 - 15 years,"QGIS,Esri products,R","Esri products,R,Mapbox",Yes,"R,Python,Javascript (or variant)",,Yes,3,Every few days,"Aggregating data from external databases
Creating plots and graphics","data wrangling,visualization","Reproducibility, ease of configuring repeated routines",Getting all of the pieces to fit together initially (but this is also a matter of esri and Microsoft lock-in),"sf
Esri2sf","sf,Esri2sf","I'm the only one in my office who uses R, so sometimes collaboration is difficult. I don't know that it's R's problem to solve, though.",
1/3/20 20:37,Geospatial Developer/Engineer,Geo Dev/Engineer,Government,Government,> 20 years,"QGIS,Esri products,PostgreSQL,PostGIS,Python,GDAL,MS SQL Server","QGIS,Esri products,Leaflet",Yes,"Python,Javascript (or variant),SQL",Availability and size of the data,No,,,,,,,,,,Many enterprise DB flavors have spatial functions like PostGIS... and are often underutilized!
1/3/20 20:55,Manager,Manager,Non-profit,Non-profit,6 - 10 years,"Esri products,R,Google Earth Engine","R,Adobe Creative Suite",No,,,,,,,,,,,,,
1/3/20 20:56,Developer advocate,Other,Private,Private,> 20 years,"QGIS,PostgreSQL,PostGIS,R,Python,GDAL,Java,","QGIS,Leaflet,openlayers ",Yes,"Python,Java,sql,bash","Size of project, teammates, available libraries ",Yes,4,"Infrequently, but as-needed",Spatial statistics ,geo analysis,The ability to do proper statistical analysis with ease and graphing ,"Visualization, normal gis tasks, raster analysis ",Spatial stats ,Spatstat,,
1/3/20 21:15,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,> 20 years,"PostgreSQL,PostGIS,Python,GRASS,GDAL,PDAL","QGIS,Python",Yes,"Python,C (or variant),Javascript (or variant)",Performance and support library availability suitable for a given task,No,,,,,,,,,,
1/3/20 21:37,Data scientist,Data scientist,Private,Private,6 - 10 years,"R,Leapfrog",R,No,,,,,,,,,,,,,I would like more tools for analysis of geo-metallurgical data (similar to leapfrog). Thanks
1/3/20 22:11,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,11 - 15 years,"QGIS,PostgreSQL,PostGIS,Python,GRASS,GDAL,CARTO,Turf.js FME","QGIS,Carto,Tableau Google Data Studio",Yes,"Python,Javascript (or variant),SQL",Data source & info endpoint. ,No,,,,,,,,,,
1/4/20 0:19,Researcher,Researcher,Academia,Academia,0 - 2 years,R,"R,Carto",Yes,R,,Yes,3,"Infrequently, but as-needed",Historical research including historical GIS,geo analysis,Good fit in paradigm of R especially with sf package,Finding good historical mapping resources,Sf,Sf,Not sure,
1/4/20 0:28,Researcher,Researcher,Academia,Academia,3 - 5 years,R,R,No,,,,,,,,,,,,,
1/4/20 0:42,Researcher,Researcher,Academia,Academia,> 20 years,"QGIS,R,Python,GRASS,GDAL,Google Earth Engine,otb ","QGIS,R,Mapbox",Yes,"R,Python","Suitabity, Training, context",Yes,5,Daily,"Spatial Analysis, modelling, prediction, RS, wrapper die API calls","geo analysis,modeling",Power and simplicity,Memory and speed ,link2GI sf Raster ,"link2GI,sf,Raster ",Better Network support,
1/4/20 0:58,Environmental engineer,Other,Private,Private,3 - 5 years,"Esri products,R","Esri products,R,Adobe Creative Suite,Mapbox",Yes,R,,Yes,3,Weekly,"Stats, visualization, wanting to script more spatial analyses.","statistics,visualization,geo analysis","Projection are more logical to me in R than in esri. 

Routines are easier to define than esri scripting in my opinion.

Accessing web based data.","Lacking a comprehensive crosswalk with esri tools, or at least I haven’t seen one yet. It still seems like there are too many alternative ways to do simple things like intersect points with a polygon, and I can’t keep up with the rapid development in the R space. ",,,,
1/4/20 0:59,Manager,Manager,Private,Private,0 - 2 years,"Esri products,Python,GDAL",Esri products,Yes,Python,,No,,,,,,,,,,
1/4/20 1:05,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,> 20 years,"PostgreSQL,PostGIS,Python,GDAL","QGIS,Python,Mapbox",Yes,Python,,No,,,,,,,,,,
1/4/20 1:27,Data scientist,Data scientist,Private,Private,6 - 10 years,"QGIS,R,Python,Google Earth Engine","QGIS,R",Yes,"R,Python",Python only for high memory usage processing. R is my mother tongue.,Yes,5,Daily,Raster and vectorial analysis. Data science in general. Visualization.,"geo analysis,visualization,EDA","Constantly evolving packages, good documentation and active user's community.",Less fast than others in higher memory usage processes.,"raster,rgdal,sf/st","raster,rgdal,sf",Improvements in visualization to allow batch cartography to do professional maps without Qgis.,
1/4/20 2:01,GIS tech/analyst,GIS tech/analyst,Private,Private,> 20 years,"Esri products,R","Esri products,R",Yes,R,,Yes,2,Monthly,spatial analysis,geo analysis,Geo-visualization,GDB Connnection,Maptools,Maptools,,
1/4/20 2:15,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,3 - 5 years,"QGIS,PostgreSQL,PostGIS,R,Python,GDAL,CARTO,Turf.js","QGIS,R,Mapbox,Carto,Leaflet.js",Yes,"R,Python,Javascript (or variant)",Project requirements and cutomer demands,Yes,4,"Infrequently, but as-needed","Data exploration and manipulation, spatial data analysis","EDA,data wrangling,geo analysis","Spatial libraries are easy to install and well documented, the RStudio IDE makes working in R very convinient",Slower than CLI tools like GDAL ,"Sp,rgdal,rgeos","Sp,rgdal,rgeos",,
1/4/20 2:47,Manager,Manager,Private,Private,11 - 15 years,"QGIS,PostgreSQL,PostGIS,Python,GRASS,GDAL","QGIS,Geoserver,sld",Yes,Python,,Yes,1,"Never (I used to use R, but now I don't)",Not using it anymore ,,Ease of use ,Cannot judge,,,,
1/4/20 2:50,Researcher,Researcher,Government,Government,11 - 15 years,"QGIS,R,Python","QGIS,R,Mapbox",Yes,"R,Python","Development Speed, visualisation libraries, available libraries for given taska",Yes,4,Daily,"Data cleaning, data joining, visualisation, spatial statistics","data wrangling,visualization,geo analysis","Ease of syntax especially sf package, elegant visualisatiom opportunıties in ggplot2, availability of state of art spatial econometrics estimation methods in various libraries",Speed... especially in big tasks,"Leaflet,sf,spdep,tidyverse family","Leaflet,sf,spdep,tidyverse",Reproducibility,
1/4/20 2:59,Researcher,Researcher,Academia,Academia,11 - 15 years,"QGIS,R,GRASS,GDAL","QGIS,R,Carto",Yes,"R,grass",Volume of data,Yes,5,Daily,Most,everything,Link to grass,Handling bigger data,"Rgdal,sp,SF,rgeos","Rgdal,sp,SF,rgeos",Good enough already,
1/4/20 3:00,Researcher,Researcher,Academia,Academia,11 - 15 years,"QGIS,Esri products,R,MATLAB ","QGIS,Esri products,MATLAB ",Yes,"R,Matlab",Availability of packages ,Yes,3,Weekly,Teaching spatial statistics ,geo analysis,Available packages,Large data,sp spatstat rgstat raster maptools ,"sp,spatstat,rgstat,raster,maptools ",,
1/4/20 3:03,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,6 - 10 years,"Esri products,PostgreSQL,PostGIS,R,Python","Esri products,R",Yes,"R,Python","Always used to use R, but had to learn Python when we started using more of the Esri Enterprise products. ",Yes,5,Every few days,"Animal movement analyses (e.g. Home ranges etc), Remote sensing, and statistical analyses. ","geo analysis,modeling,statistics",Large user community to get help. ,It can be slower than other software and not as user friendly if you are not used to coding. ,"Raster,sp,move,adhabitat,snow,movevis,rgdal,leaflet. ","Raster,sp,move,adehabitat,snow,movevis,rgdal,leaflet",More integrated multithread processing. ,
1/4/20 3:20,Policy Analyst ,Other,Government,Government,3 - 5 years,"QGIS,Esri products,R","QGIS,Esri products,R",Yes,R,,Yes,4,Daily,"Statistical modelling, GIS, cartography, Web mapping, shiny ","modeling,geo analysis,maps,software dev","Reusability of code, interactive Web maps",Size of datasets able to be analysed ,"Sf,leaflet,stars","Sf,leaflet,stars",Better memory management ,
1/4/20 3:28,GIS tech/analyst,GIS tech/analyst,Private,Private,3 - 5 years,"QGIS,Esri products,PostgreSQL,PostGIS,R,Python","QGIS,Esri products",Yes,Python,,No,,,,,,,,,,
1/4/20 3:31,Researcher,Researcher,Non-profit,Non-profit,11 - 15 years,"QGIS,PostgreSQL,PostGIS,R,Python,GRASS,GDAL,Google Earth Engine","QGIS,R,Python",Yes,"R,Python",The most adapted to the task,Yes,4,Daily,(geo)statistical models ,"geo analysis,modeling",Statistical models ,Memory management / speed,"Sp/st,grass,rgdal,raster,rleaflet","Sp,grass,rgdal,raster,rleaflet",It is ok,
1/4/20 3:36,Data scientist,Data scientist,Government,Government,3 - 5 years,"PostgreSQL,PostGIS,R,Python","QGIS,R,Python",Yes,"R,Python",,Yes,3,Weekly,"Automate tasks, geospatial analysis",geo analysis,"Interoperabilitat, geospatial data viz",Complexity in programming,Sf,Sf,,
1/4/20 4:05,Data scientist,Data scientist,Private,Private,11 - 15 years,"QGIS,R,Python,GRASS,GDAL,SAGA GIS","QGIS,R",Yes,"R,Python,Javascript (or variant)","Product integration, customer needs, best tool for the task (vis is usually JavaScript)",Yes,5,Daily,pretty much everything,everything,Two very solid spatial data class packages (sp/sf and raster) for all the dirty work. On top of which there is a multitude of great analysis packages for pretty much any task you can ask for.,Large data visualisation. Interactive 3d data visualisation,"sf,raster","sf,raster",3d interactive plots,"I currently don't do a lot of geo stuff myself, but still maintain a couple of packages fro the geo community. Some of the answers I gave are therefore more about what I see in general, rather than in my own job."
1/4/20 4:06,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,11 - 15 years,"QGIS,PostgreSQL,PostGIS,Python,GDAL,Javascript ","QGIS,Python,Cesium,Mapbox",Yes,"Python,Javascript (or variant),C#",Broader architecture of the project ,No,,,,,,,,,,
1/4/20 4:15,Researcher,Researcher,Government,Government,11 - 15 years,"QGIS,R,CARTO","QGIS,R",Yes,"R,Python",,Yes,2,Every few days,Data wrangling,data wrangling,Facility,NoNone,"Sf,ggplot ","Sf,ggplot2",None,"Nope,thks

"
1/4/20 4:15,Data scientist,Data scientist,Government,Government,3 - 5 years,"QGIS,PostgreSQL,PostGIS,R,Python","QGIS,R,Python,Mapbox",Yes,"R,C (or variant)","R where possible, however c++ is sometimes required for its speed when doing high volume work (eg calculating hundreds of millions of routes).",Yes,4,Daily,"General statistical analysis, geospatial analysis, shiny dashboard creation including interactive maps.","statistics,geo analysis,software dev,maps","It’s ability to fit in with general data analysis workflows is very useful compared to lost GIS products.  Very easy to incorporate spatial analysis into dashboards.  Large number of great spatial packages, including sf.",Building professional maps appropriate for printing is sometimes much trickier than simply using a GIS product like QGIS or Arc,"Sf,leaflet,mapview,tidyverse,leaflet.extras","Sf,leaflet,mapview,tidyverse,leaflet.extras","More integration with interactive JavaScript map applications other than leaflet, especially for things like vector tiles.  ","Thanks, good luck with the presentation!"
1/4/20 5:24,GIS tech/analyst,GIS tech/analyst,Non-profit,Non-profit,3 - 5 years,"QGIS,Python,GDAL,Google Earth Engine,Map marker","QGIS,Python",Yes,Python,,No,,,,,,,,,,
1/4/20 5:47,Data scientist,Data scientist,Government,Government,3 - 5 years,"QGIS,R,GRASS,GDAL","QGIS,R",Yes,R,,Yes,3,Every few days,Many : data analysis,everything,The combination of sf and the tidyverse tools. Shiny,editing geometry,"Sf,raster","Sf,raster",,
1/4/20 7:37,Data scientist,Data scientist,Private,Private,3 - 5 years,"QGIS,R,Google Earth Engine,MapInfo and MapBasic","QGIS,R,MapInfo",Yes,"R,Javascript (or variant),MapBasic",R,Yes,4,Daily,Data analytics on telecommunication data,EDA,"It's functional, it has NSE, data structures are easy interpretable in data science cases",Interactive data visualization is clunky.,sf,sf,More JavaScript based visualization for data visualization and interactivity,
1/4/20 7:46,Geospatial Developer/Engineer,Geo Dev/Engineer,Academia,Academia,6 - 10 years,"Esri products,PostgreSQL,PostGIS,R,Python,GDAL","Esri products,R,Python,Mapbox",Yes,"R,Python,Javascript (or variant)",,Yes,4,Monthly,Visualization,visualization,Easy for beginner,Virtual environment,,,,
1/4/20 7:47,Engineer ,Other,Private,Private,16 - 20 years,"QGIS,GDAL,MapInfo ","QGIS,MapInfo ",Yes,"Python,Mapbasic",GIS platform,No,,,,,,,,,,
1/4/20 7:49,Remote Sensing Scientist,RS Scientist,Private,Private,3 - 5 years,"QGIS,R,Python,GRASS,GDAL,Google Earth Engine","QGIS,R",Yes,"R,Python",,Yes,5,Daily,Processing and visualization,"EDA,visualization",Documentation and flexibility to analysis and quick previews about what your are searching,Soeed of some hard job task,Sf raster sp gdal ,"Sf,raster,sp,gdal ",Merge python library's in one pipeline,:D
1/4/20 7:50,Data scientist,Data scientist,Private,Private,3 - 5 years,"Esri products,R",R,Yes,R,,Yes,4,Daily,Visualization and geoprocessing,"geo analysis,visualization",Packages like sf and stars are very simple e powerfull,Speed and performance in large dataset; integration with GEE and maybe ArcGis,"Sf,stars,mapview","Sf,stars,mapview",,
1/4/20 8:02,GIS tech/analyst,GIS tech/analyst,Private,Private,0 - 2 years,"QGIS,Esri products,R,GRASS","QGIS,Esri products,R",Yes,R,,Yes,4,Weekly,Geospatial Analyst,geo analysis,Speed,Memory and speed,SF,SF,Shiny,
1/4/20 9:00,Researcher,Researcher,Academia,Academia,6 - 10 years,"R,GRASS,GDAL","QGIS,R",Yes,"R,C++",Code speed - C++; otherwise R,Yes,5,Daily,All ,everything,"Newest scientific methods, R code is (relatively) easy to write, R allows to focus on data",Diversity and incompatibility of tools,,,,
1/4/20 9:25,Researcher,Researcher,Non-profit,Non-profit,16 - 20 years,"QGIS,Esri products,R,GDAL,Google Earth Engine,BigQuery GIS","Esri products,Adobe Creative Suite,Blender",Yes,"Python,Javascript (or variant)",right tool for the job,Yes,4,"Infrequently, but as-needed",graphing,visualization,user community,library dependencies,,,,
1/4/20 10:22,GIS tech/analyst,GIS tech/analyst,Non-profit,Non-profit,3 - 5 years,"QGIS,Esri products,R,Python,GRASS,GeoDa","QGIS,Esri products,R,Python,Adobe Creative Suite,Gimp,Mapbox",Yes,"R,Python",Either good interaction with ESRI products (python) or the one that has the best way or packages to do the task from beginning to end (R/Python),Yes,2,Weekly,"Data wrangling, some processing/analysis, and output (html/pdf,image)","data wrangling,EDA,visualization",Longer stand-alone history of package development and in-depth analysis of all kinds.,None with the spatial analysis itself. In general not as easily integrated with ESRI products as python (arcpy),"sf,ggplot2","sf,ggplot2",Easier integration with ESRI products,
1/4/20 10:27,Researcher,Researcher,Academia,Academia,16 - 20 years,"Esri products,Python","Esri products,Adobe Creative Suite,Mapbox,Carto",Yes,"Python,Javascript (or variant)",Convenience,No,,,,,,,,,,
1/4/20 10:50,Researcher,Researcher,Non-profit,Non-profit,0 - 2 years,"QGIS,R,GDAL,Google Earth Engine","QGIS,R,Gimp",Yes,R,,Yes,3,Daily,"Spatial stats, exploratory analysis and mapping","geo analysis,EDA,maps","I can use the same language for analysis and mapping. Elegant, command line controlled maps. Reproducible workflow",Difficult with large rasters,"Sf,raster,tmap,mapview","Sf,raster,tmap,mapview",The direction stars is taking to deal with large data cubes,I also teach R spatial and the command line can seem a burden to people not intending to do much with their data
1/4/20 11:59,Researcher,Researcher,Government,Government,6 - 10 years,"QGIS,Esri products,R,Python,GRASS,Google Earth Engine","QGIS,Esri products,R,Python,Mapbox",Yes,"R,Python",,Yes,5,Daily,"Spatial predictions, data cleaning, geostatistics, dashboards and interactive maps","geo analysis,data wrangling,statistics,maps",Strong 'core' spatial packages which were developed early on (and subsequent developments like sf). Thus a large and well connected ecosystem of other packages has evolved around these spatial packages.,"R is still slow when dealing with large vector datasets compared to using a dedicated GIS. For example, spatial overlay operations on datasets with >100k polygons are orders of magnitude faster if you use GRASS compared to sf.","sf,raster,leaflet,ggplot2","sf,raster,leaflet,ggplot2",Focus on performance improvements; topology cleaning tools that are performant,
1/4/20 12:17,Researcher,Researcher,Academia,Academia,16 - 20 years,"QGIS,Esri products,R,Python,Google Earth Engine","QGIS,Esri products,R",Yes,"R,Python",,Yes,4,Weekly,"Data analysis, mining, visualization, statistical analysis","EDA,visualization,statistics","Ability to work with a wide range of formats, multiple libraries to work with spatial data",Not very memory efficient,"sf,rgdal","sf,rgdal",More efficient running tasks on larger datasets,
1/4/20 13:02,GIS Librarian,Other,Academia,Academia,11 - 15 years,"QGIS,Esri products,PostgreSQL,PostGIS,R,Python,GDAL,CARTO","QGIS,Esri products,R,Carto,Leaflet,Javascript",Yes,"R,Python,Javascript (or variant),SQL",1st: what the person I'm helping is using; 2nd: what is easiest for the task at hand ,Yes,1,"Infrequently, but as-needed",I've helped troubleshoot other people's R code,,"scripted, self-documenting workflows; lots of useful packages",syntax is odd for an R novice who is familiar with other programming languages,"sf,raster","sf,raster",if I had more time to learn R,
1/4/20 13:35,Researcher,Researcher,Academia,Academia,0 - 2 years,"Esri products,R,Python","Esri products,R,Python",Yes,"R,Python",,Yes,3,Every few days,Analyzing dataset,EDA,It is a powerful tool.,Creating the greatest thematic maps.,,,,
1/4/20 13:51,GIS tech/analyst,GIS tech/analyst,Academia,Academia,16 - 20 years,"QGIS,Esri products,CARTO","QGIS,Esri products,Carto",No,,,,,,,,,,,,,
1/4/20 17:50,Geospatial Developer/Engineer,Geo Dev/Engineer,Private,Private,11 - 15 years,"QGIS,PostgreSQL,PostGIS,R,Python,GRASS,GDAL","QGIS,Leaflejs ",Yes,Javascript (or variant),Library availability ,Yes,2,"Infrequently, but as-needed",Raster analysis ,geo analysis,Statistical models,Not completely programming language ,,,,
